table,feature,dtype,row_count,null_count,non_null_count,non_null_ratio,unique_count,unique_count_definition,list_length_min,list_length_median,list_length_p90,list_length_p99,list_length_max,empty_list_count,empty_list_ratio
item_feat,100,int64,4783154,4109,4779045,0.9991409434026167,6,distinct non-null scalar values,,,,,,,
item_feat,101,int64,4783154,4109,4779045,0.9991409434026167,51,distinct non-null scalar values,,,,,,,
item_feat,102,int64,4783154,47237,4735917,0.990124298736775,90706,distinct non-null scalar values,,,,,,,
item_feat,112,int64,4783154,81414,4701740,0.9829790134292142,30,distinct non-null scalar values,,,,,,,
item_feat,114,int64,4783154,4827,4778327,0.9989908332451767,20,distinct non-null scalar values,,,,,,,
item_feat,115,int64,4783154,3251739,1531415,0.3201684495209646,689,distinct non-null scalar values,,,,,,,
item_feat,116,int64,4783154,5008,4778146,0.9989529921052093,18,distinct non-null scalar values,,,,,,,
item_feat,117,int64,4783154,81414,4701740,0.9829790134292142,490,distinct non-null scalar values,,,,,,,
item_feat,118,int64,4783154,82451,4700703,0.98276221087592,1410,distinct non-null scalar values,,,,,,,
item_feat,119,int64,4783154,83260,4699894,0.9825930756149603,4126,distinct non-null scalar values,,,,,,,
item_feat,120,int64,4783154,88172,4694982,0.9815661381590474,3366,distinct non-null scalar values,,,,,,,
item_feat,121,int64,4783154,0,4783154,1.0,2135891,distinct non-null scalar values,,,,,,,
item_feat,122,int64,4783154,4109,4779045,0.9991409434026167,90916,distinct non-null scalar values,,,,,,,
